agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
10,2,17186,14845,3556,0.2395
10,3,17186,587979,16230,0.0276
11,1,17186,0,0,NA
11,2,17186,26860,5414,0.2016
11,3,17186,320852,8222,0.0256
1,1,17198,434850,1420,0.0033
1,2,17198,133568,314,0.0023
1,3,17198,32424,78,0.0024
2,1,17198,117001,660,0.0056
2,2,17198,153460,518,0.0034
2,3,17198,79290,249,0.0031
3,1,17198,43858,223,0.0051
3,2,17198,138640,543,0.0039
3,3,17198,122130,449,0.0037
4,1,17198,14389,81,0.0056
4,2,17198,115549,507,0.0044
4,3,17198,177818,736,0.0041
5,1,17198,4180,25,0.0059
5,2,17198,126508,601,0.0048
5,3,17198,432707,1890,0.0044
6,1,17198,554,3,0.0063
6,2,17198,66537,327,0.0049
6,3,17198,465206,2006,0.0043
7,1,17198,64,0,0.0069
7,2,17198,33861,168,0.005
7,3,17198,436815,1808,0.0041
8,1,17198,7,0,0.0082
8,2,17198,31856,162,0.0051
8,3,17198,4200047,17633,0.0042
9,1,17198,0,0,NA
9,2,17198,3187,20,0.0063
9,3,17198,4530087,17767,0.0039
10,1,17198,0,0,NA
10,2,17198,643,179,0.2783
10,3,17198,2154096,8469,0.0039
11,1,17198,0,0,NA
11,2,17198,3162,1145,0.3622
11,3,17198,1163721,4398,0.0038
1,1,17211,419367,380,9e-4
1,2,17211,137919,76,6e-4
1,3,17211,35798,20,6e-4
2,1,17211,112893,165,0.0015
2,2,17211,154638,117,8e-4
2,3,17211,84597,57,7e-4
3,1,17211,43248,54,0.0013
3,2,17211,138605,107,8e-4
3,3,17211,129279,96,7e-4
4,1,17211,14476,19,0.0013
4,2,17211,114877,103,9e-4
4,3,17211,182981,143,8e-4
5,1,17211,4328,5,0.0012
5,2,17211,126308,112,9e-4
5,3,17211,450605,363,8e-4
6,1,17211,587,1,0.0011
6,2,17211,66497,60,9e-4
6,3,17211,495059,401,8e-4
7,1,17211,69,0,0.0013
7,2,17211,33906,31,9e-4
7,3,17211,483949,363,7e-4
8,1,17211,8,0,0.0012
8,2,17211,31844,28,9e-4
8,3,17211,4675634,3342,7e-4
9,1,17211,0,0,NA
9,2,17211,3195,14,0.0045
9,3,17211,5430402,3652,7e-4
10,1,17211,0,0,NA
10,2,17211,1151,403,0.3506
10,3,17211,2487761,1748,7e-4
11,1,17211,1,1,0.7152
11,2,17211,8243,2696,0.327
11,3,17211,1278910,1933,0.0015
1,1,17224,414602,394,0.001
1,2,17224,139209,96,7e-4
1,3,17224,38071,27,7e-4
2,1,17224,111985,175,0.0016
2,2,17224,153827,154,0.001
2,3,17224,87948,77,9e-4
