exp_dep,age_dep,seasforc_width_wks,R0,peak_week,seasforce_peak,omega,par_id,const_delta,seas_conc_lim,npi_start,npi_stop,seas_start_wk,seas_stop_wk
1.125,0.5,5,1.1,48,1,0.002857142857142857,17198,2.669483259488741,0.85,2020-03-26,2021-05-17,42,8
0.875,0.5625,5,1.1,48,1,0.002857142857142857,17211,2.3059286516742707,0.85,2020-03-26,2021-05-17,42,8
0.625,0.625,5,1.1,48,1,0.002857142857142857,17224,1.884884142843157,0.85,2020-03-26,2021-05-17,42,8
0.375,0.6875,5,1.1,48,1,0.002857142857142857,17237,1.4578556071263358,0.85,2020-03-26,2021-05-17,42,8
1.625,0.3125,7,1.1,48,1,0.002857142857142857,17382,2.1925152252679094,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,7,1.1,48,1,0.002857142857142857,17384,2.9559346622163902,0.85,2020-03-26,2021-05-17,42,8
1.5,0.375,7,1.1,48,1,0.002857142857142857,17396,2.590884258432218,0.85,2020-03-26,2021-05-17,42,8
1.625,0.375,7,1.1,48,1,0.002857142857142857,17397,3.0243141539958582,0.85,2020-03-26,2021-05-17,42,8
1.375,0.4375,7,1.1,48,1,0.002857142857142857,17410,2.922946501956559,0.85,2020-03-26,2021-05-17,42,8
1.125,0.5,7,1.1,48,1,0.002857142857142857,17423,2.669483259488741,0.85,2020-03-26,2021-05-17,42,8
0.875,0.5625,7,1.1,48,1,0.002857142857142857,17436,2.3059286516742707,0.85,2020-03-26,2021-05-17,42,8
0.375,0.6875,7,1.1,48,1,0.002857142857142857,17462,1.4578556071263358,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,3,1.2,48,1,0.002857142857142857,17579,1.4886475229920841,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,3,1.2,48,1,0.002857142857142857,17580,1.7208133439539326,0.85,2020-03-26,2021-05-17,42,8
1.625,0.25,3,1.2,48,1,0.002857142857142857,17592,1.6595617165358947,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,3,1.2,48,1,0.002857142857142857,17594,2.2374102334438137,0.85,2020-03-26,2021-05-17,42,8
1.25,0.4375,3,1.2,48,1,0.002857142857142857,17634,2.707437279380412,0.85,2020-03-26,2021-05-17,42,8
1.125,0.5,3,1.2,48,1,0.002857142857142857,17648,2.912163555805899,0.85,2020-03-26,2021-05-17,42,8
0.875,0.5625,3,1.2,48,1,0.002857142857142857,17661,2.515558529099204,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.2,48,1,0.002857142857142857,17805,1.7208133439539326,0.85,2020-03-26,2021-05-17,42,8
1.75,0.25,5,1.2,48,1,0.002857142857142857,17818,1.9300659945678251,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1.2,48,1,0.002857142857142857,17819,2.2374102334438137,0.85,2020-03-26,2021-05-17,42,8
1.625,0.3125,5,1.2,48,1,0.002857142857142857,17832,2.3918347912013553,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,5,1.2,48,1,0.002857142857142857,17833,2.7816976910976563,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,5,1.2,48,1,0.002857142857142857,17834,3.2246559951451523,0.85,2020-03-26,2021-05-17,42,8
1.5,0.375,5,1.2,48,1,0.002857142857142857,17846,2.826419191016965,0.85,2020-03-26,2021-05-17,42,8
1.625,0.375,5,1.2,48,1,0.002857142857142857,17847,3.299251804359118,0.85,2020-03-26,2021-05-17,42,8
1.375,0.4375,5,1.2,48,1,0.002857142857142857,17860,3.188668911225337,0.85,2020-03-26,2021-05-17,42,8
1.625,0.4375,5,1.2,48,1,0.002857142857142857,17862,4.362988291958038,0.85,2020-03-26,2021-05-17,42,8
1.125,0.5,5,1.2,48,1,0.002857142857142857,17873,2.912163555805899,0.85,2020-03-26,2021-05-17,42,8
1,0.5625,5,1.2,48,1,0.002857142857142857,17887,3.0162755439222195,0.85,2020-03-26,2021-05-17,42,8
0.75,0.625,5,1.2,48,1,0.002857142857142857,17900,2.5035468676686445,0.85,2020-03-26,2021-05-17,42,8
0.375,0.6875,5,1.2,48,1,0.002857142857142857,17912,1.5903879350469114,0.85,2020-03-26,2021-05-17,42,8
0.5,0.6875,5,1.2,48,1,0.002857142857142857,17913,1.971228932553711,0.85,2020-03-26,2021-05-17,42,8
2,0.25,7,1.2,48,1,0.002857142857142857,18045,2.5863512524916663,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,7,1.2,48,1,0.002857142857142857,18058,2.7816976910976563,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,7,1.2,48,1,0.002857142857142857,18059,3.2246559951451523,0.85,2020-03-26,2021-05-17,42,8
1.375,0.4375,7,1.2,48,1,0.002857142857142857,18085,3.188668911225337,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,3,1.3,48,1,0.002857142857142857,18255,1.8642144559500937,0.85,2020-03-26,2021-05-17,42,8
1.625,0.3125,3,1.3,48,1,0.002857142857142857,18282,2.5911543571348017,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,3,1.3,48,1,0.002857142857142857,18284,3.4933773280739153,0.85,2020-03-26,2021-05-17,42,8
1.5,0.375,3,1.3,48,1,0.002857142857142857,18296,3.061954123601712,0.85,2020-03-26,2021-05-17,42,8
1.125,0.5,3,1.3,48,1,0.002857142857142857,18323,3.154843852123058,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.3,48,1,0.002857142857142857,18480,1.8642144559500937,0.85,2020-03-26,2021-05-17,42,8
1.75,0.25,5,1.3,48,1,0.002857142857142857,18493,2.0909048274484774,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1.3,48,1,0.002857142857142857,18494,2.4238610862307985,0.85,2020-03-26,2021-05-17,42,8
2,0.25,5,1.3,48,1,0.002857142857142857,18495,2.8018805235326387,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,5,1.3,48,1,0.002857142857142857,18508,3.013505832022461,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,5,1.3,48,1,0.002857142857142857,18509,3.4933773280739153,0.85,2020-03-26,2021-05-17,42,8
1.625,0.375,5,1.3,48,1,0.002857142857142857,18522,3.574189454722378,0.85,2020-03-26,2021-05-17,42,8
1.375,0.4375,5,1.3,48,1,0.002857142857142857,18535,3.454391320494115,0.85,2020-03-26,2021-05-17,42,8
1.25,0.5,5,1.3,48,1,0.002857142857142857,18549,3.7354516353613496,0.85,2020-03-26,2021-05-17,42,8
1,0.5625,5,1.3,48,1,0.002857142857142857,18562,3.2676318392490717,0.85,2020-03-26,2021-05-17,42,8
0.75,0.625,5,1.3,48,1,0.002857142857142857,18575,2.7121757733076985,0.85,2020-03-26,2021-05-17,42,8
